dataset = MNIST
model = SortMLPModel(depth=5,width=5120,scalar=True,dropout=0.75,identity_val=10.0)
loss = mixture(lam0=0.02,lam_end=0.0002)
p_start = 8.0
p_end = 1000.0
eps_train = 0.45
eps_test = 0.3
eps_smooth = 0.4
epochs = 0,0,100,1450,1500
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 1
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(28, 28), padding=1)
    ToTensor()
    Normalize(mean=[0.1307], std=[0.3081])
)
SortMLPModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=784, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(in_features=5120, out_features=10, bias=True)
  )
)
number of params:  82708491
Epoch 73:  train loss 0.0226   train acc 0.9899   worst 0.9571   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.07
Epoch 74:  train loss 0.0225   train acc 0.9898   worst 0.9574   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.28
Epoch 75:  train loss 0.0224   train acc 0.9897   worst 0.9576   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.51
Epoch 76:  train loss 0.0224   train acc 0.9900   worst 0.9579   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.30
Epoch 77:  train loss 0.0220   train acc 0.9898   worst 0.9584   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.59
Epoch 78:  train loss 0.0209   train acc 0.9900   worst 0.9600   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.55
Epoch 79:  train loss 0.0219   train acc 0.9897   worst 0.9590   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.76
Epoch 80:  train loss 0.0217   train acc 0.9902   worst 0.9587   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.59
Epoch 81:  train loss 0.0217   train acc 0.9902   worst 0.9583   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.89
Epoch 82:  train loss 0.0217   train acc 0.9906   worst 0.9587   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.22
Epoch 83:  train loss 0.0207   train acc 0.9905   worst 0.9607   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.36
Epoch 84:  train loss 0.0211   train acc 0.9901   worst 0.9607   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 11.08
Epoch 85:  train loss 0.0210   train acc 0.9903   worst 0.9600   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.25
Epoch 86:  train loss 0.0211   train acc 0.9903   worst 0.9602   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.93
Epoch 87:  train loss 0.0207   train acc 0.9908   worst 0.9599   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.82
Epoch 88:  train loss 0.0203   train acc 0.9910   worst 0.9606   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.67
Epoch 89:  train loss 0.0201   train acc 0.9910   worst 0.9608   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.99
Epoch 90:  train loss 0.0207   train acc 0.9902   worst 0.9615   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 11.65
Epoch 91:  train loss 0.0196   train acc 0.9911   worst 0.9614   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.83
Epoch 92:  train loss 0.0193   train acc 0.9911   worst 0.9629   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 11.65
Epoch 93:  train loss 0.0201   train acc 0.9911   worst 0.9610   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.97
Epoch 94:  train loss 0.0202   train acc 0.9907   worst 0.9611   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.76
Epoch 95:  train loss 0.0198   train acc 0.9911   worst 0.9613   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.43
Epoch 96:  train loss 0.0192   train acc 0.9911   worst 0.9625   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 11.01
Epoch 97:  train loss 0.0196   train acc 0.9910   worst 0.9615   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.70
Epoch 98:  train loss 0.0190   train acc 0.9915   worst 0.9626   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.92
Epoch 99:  train loss 0.0195   train acc 0.9911   worst 0.9621   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 10.83
Epoch 100:  train loss 0.0192   train acc 0.9915   worst 0.9625   lr 0.0198   p 8.00   eps 1.4606   mix 0.0200   time 12.52
Epoch 101:  train loss 0.0189   train acc 0.9913   worst 0.9631   lr 0.0198   p 8.03   eps 1.4606   mix 0.0199   time 12.62
Epoch 102:  train loss 0.0192   train acc 0.9911   worst 0.9626   lr 0.0198   p 8.06   eps 1.4606   mix 0.0199   time 12.46
Epoch 103:  train loss 0.0191   train acc 0.9915   worst 0.9617   lr 0.0198   p 8.09   eps 1.4606   mix 0.0198   time 12.55
Epoch 104:  train loss 0.0193   train acc 0.9913   worst 0.9618   lr 0.0198   p 8.12   eps 1.4606   mix 0.0197   time 12.54
Epoch 105:  train loss 0.0191   train acc 0.9920   worst 0.9608   lr 0.0198   p 8.14   eps 1.4606   mix 0.0197   time 12.56
Epoch 106:  train loss 0.0187   train acc 0.9918   worst 0.9620   lr 0.0198   p 8.17   eps 1.4606   mix 0.0196   time 13.54
Epoch 107:  train loss 0.0189   train acc 0.9917   worst 0.9605   lr 0.0197   p 8.20   eps 1.4606   mix 0.0195   time 13.40
Epoch 108:  train loss 0.0192   train acc 0.9915   worst 0.9612   lr 0.0197   p 8.23   eps 1.4606   mix 0.0195   time 12.56
Epoch 109:  train loss 0.0185   train acc 0.9918   worst 0.9616   lr 0.0197   p 8.26   eps 1.4606   mix 0.0194   time 12.49
Epoch 110:  train loss 0.0190   train acc 0.9918   worst 0.9613   lr 0.0197   p 8.29   eps 1.4606   mix 0.0193   time 12.71
Epoch 111:  train loss 0.0191   train acc 0.9919   worst 0.9604   lr 0.0197   p 8.32   eps 1.4606   mix 0.0193   time 12.44
Epoch 112:  train loss 0.0191   train acc 0.9919   worst 0.9603   lr 0.0197   p 8.35   eps 1.4606   mix 0.0192   time 12.58
Epoch 113:  train loss 0.0194   train acc 0.9913   worst 0.9608   lr 0.0197   p 8.38   eps 1.4606   mix 0.0191   time 12.56
Epoch 114:  train loss 0.0192   train acc 0.9917   worst 0.9606   lr 0.0197   p 8.41   eps 1.4606   mix 0.0191   time 12.54
Epoch 115:  train loss 0.0189   train acc 0.9922   worst 0.9605   lr 0.0197   p 8.44   eps 1.4606   mix 0.0190   time 12.62
Epoch 116:  train loss 0.0192   train acc 0.9923   worst 0.9595   lr 0.0197   p 8.47   eps 1.4606   mix 0.0189   time 12.64
Epoch 117:  train loss 0.0188   train acc 0.9924   worst 0.9601   lr 0.0197   p 8.50   eps 1.4606   mix 0.0189   time 12.56
Epoch 118:  train loss 0.0191   train acc 0.9921   worst 0.9596   lr 0.0197   p 8.53   eps 1.4606   mix 0.0188   time 12.53
Epoch 119:  train loss 0.0193   train acc 0.9923   worst 0.9589   lr 0.0197   p 8.56   eps 1.4606   mix 0.0187   time 12.67
Epoch 120:  train loss 0.0191   train acc 0.9925   worst 0.9581   lr 0.0197   p 8.59   eps 1.4606   mix 0.0187   time 13.35
Epoch 121:  train loss 0.0186   train acc 0.9923   worst 0.9595   lr 0.0197   p 8.62   eps 1.4606   mix 0.0186   time 12.44
Epoch 122:  train loss 0.0193   train acc 0.9921   worst 0.9586   lr 0.0197   p 8.65   eps 1.4606   mix 0.0186   time 12.53
Epoch 123:  train loss 0.0188   train acc 0.9922   worst 0.9594   lr 0.0197   p 8.69   eps 1.4606   mix 0.0185   time 12.86
Epoch 124:  train loss 0.0185   train acc 0.9926   worst 0.9597   lr 0.0197   p 8.72   eps 1.4606   mix 0.0184   time 12.49
Epoch 125:  train loss 0.0190   train acc 0.9924   worst 0.9595   lr 0.0197   p 8.75   eps 1.4606   mix 0.0184   time 12.66
Epoch 126:  train loss 0.0191   train acc 0.9925   worst 0.9582   lr 0.0197   p 8.78   eps 1.4606   mix 0.0183   time 12.76
Epoch 127:  train loss 0.0185   train acc 0.9931   worst 0.9582   lr 0.0196   p 8.81   eps 1.4606   mix 0.0182   time 12.54
Epoch 128:  train loss 0.0186   train acc 0.9927   worst 0.9584   lr 0.0196   p 8.84   eps 1.4606   mix 0.0182   time 12.63
Epoch 129:  train loss 0.0194   train acc 0.9923   worst 0.9568   lr 0.0196   p 8.87   eps 1.4606   mix 0.0181   time 12.59
Epoch 130:  train loss 0.0191   train acc 0.9924   worst 0.9575   lr 0.0196   p 8.91   eps 1.4606   mix 0.0181   time 12.61
Epoch 131:  train loss 0.0191   train acc 0.9923   worst 0.9579   lr 0.0196   p 8.94   eps 1.4606   mix 0.0180   time 12.57
Epoch 132:  train loss 0.0194   train acc 0.9925   worst 0.9569   lr 0.0196   p 8.97   eps 1.4606   mix 0.0179   time 12.46
Epoch 133:  train loss 0.0183   train acc 0.9930   worst 0.9582   lr 0.0196   p 9.00   eps 1.4606   mix 0.0179   time 12.62
Epoch 134:  train loss 0.0187   train acc 0.9930   worst 0.9574   lr 0.0196   p 9.03   eps 1.4606   mix 0.0178   time 12.47
Epoch 135:  train loss 0.0190   train acc 0.9927   worst 0.9570   lr 0.0196   p 9.07   eps 1.4606   mix 0.0177   time 12.49
Epoch 136:  train loss 0.0190   train acc 0.9928   worst 0.9568   lr 0.0196   p 9.10   eps 1.4606   mix 0.0177   time 12.48
Epoch 137:  train loss 0.0196   train acc 0.9925   worst 0.9557   lr 0.0196   p 9.13   eps 1.4606   mix 0.0176   time 12.54
Epoch 138:  train loss 0.0197   train acc 0.9923   worst 0.9561   lr 0.0196   p 9.16   eps 1.4606   mix 0.0176   time 13.00
Epoch 139:  train loss 0.0191   train acc 0.9927   worst 0.9566   lr 0.0196   p 9.20   eps 1.4606   mix 0.0175   time 12.53
Epoch 140:  train loss 0.0193   train acc 0.9930   worst 0.9553   lr 0.0196   p 9.23   eps 1.4606   mix 0.0174   time 12.58
Epoch 141:  train loss 0.0197   train acc 0.9925   worst 0.9552   lr 0.0196   p 9.26   eps 1.4606   mix 0.0174   time 12.85
Epoch 142:  train loss 0.0192   train acc 0.9928   worst 0.9560   lr 0.0196   p 9.30   eps 1.4606   mix 0.0173   time 12.59
Epoch 143:  train loss 0.0192   train acc 0.9926   worst 0.9553   lr 0.0196   p 9.33   eps 1.4606   mix 0.0173   time 12.57
Epoch 144:  train loss 0.0196   train acc 0.9929   worst 0.9544   lr 0.0195   p 9.36   eps 1.4606   mix 0.0172   time 12.54
Epoch 145:  train loss 0.0185   train acc 0.9931   worst 0.9569   lr 0.0195   p 9.40   eps 1.4606   mix 0.0172   time 12.68
Epoch 146:  train loss 0.0194   train acc 0.9926   worst 0.9551   lr 0.0195   p 9.43   eps 1.4606   mix 0.0171   time 12.50
Epoch 147:  train loss 0.0192   train acc 0.9927   worst 0.9554   lr 0.0195   p 9.46   eps 1.4606   mix 0.0170   time 12.66
Epoch 148:  train loss 0.0193   train acc 0.9933   worst 0.9537   lr 0.0195   p 9.50   eps 1.4606   mix 0.0170   time 12.57
Epoch 149:  train loss 0.0194   train acc 0.9927   worst 0.9536   lr 0.0195   p 9.53   eps 1.4606   mix 0.0169   time 12.55
Epoch 150:  train loss 0.0195   train acc 0.9930   worst 0.9538   lr 0.0195   p 9.57   eps 1.4606   mix 0.0169   time 12.58
Epoch 151:  train loss 0.0195   train acc 0.9931   worst 0.9536   lr 0.0195   p 9.60   eps 1.4606   mix 0.0168   time 12.61
